id,lead_id,question_id,from_who,employee_id,to_user_id,from_admin,req_language_id,res_language_id,delivery_type,webhook_req_id,units,answer_text,entities,read,use_ai,media_url,mime_type,sid,media_thumb,is_profile,MessageUUID,qtext,is_multiparts,ip,status,msg_type,is_smart_alerted,smart_alert_users,data,created_at,updated_at
11,11,11,197,391,122,625,134,761,344,537,10,He looked inquisitively at his keyboard and wrote another sentence.,"In 1989 the building was heavily damaged by fire, but it has since been restored.",1,0,https://source.unsplash.com/1920x1080?,pocket,worker,https://source.unsplash.com/1920x1080?,1,24c5810c-a6b7-4e22-81a0-47dcbfac0ea0,"The syntax {D1,D2,...,Dn} denotes a tuple whose arguments are D1, D2, ... Dn.",7,182.217.237.154,10,9,10,Atoms are used within a program to denote distinguished values.,"Haskell is a standardized, general-purpose purely functional programming language, with non-strict semantics and strong static typing.",2024-03-26 16:46:45.111384,2024-03-26 16:46:45.111384
12,12,12,782,384,597,77,919,846,569,256,5,He looked inquisitively at his keyboard and wrote another sentence.,Where are my pants?,0,1,https://source.unsplash.com/1920x1080?,gnu,proper,https://source.unsplash.com/1920x1080?,0,1d88b7c7-270a-4a85-a045-f97bb3204253,Type classes first appeared in the Haskell programming language.,4,54.156.173.99,9,9,9,Haskell features a type system with type inference and lazy evaluation.,He looked inquisitively at his keyboard and wrote another sentence.,2024-03-26 16:46:45.111384,2024-03-26 16:46:45.111384
13,13,13,945,567,207,998,119,39,190,544,2,It is also a garbage-collected runtime system.,"Haskell is a standardized, general-purpose purely functional programming language, with non-strict semantics and strong static typing.",1,1,https://source.unsplash.com/1920x1080?,managed,outdoor,https://source.unsplash.com/1920x1080?,1,d28ff54d-160d-4715-99d2-1a8635034019,Do you come here often?,9,109.43.148.103,9,9,8,It is also a garbage-collected runtime system.,"Initially composing light-hearted and irreverent works, he also wrote serious, sombre and religious pieces beginning in the 1930s.",2024-03-26 16:46:45.111384,2024-03-26 16:46:45.111384
14,14,14,71,897,715,555,2,379,338,291,4,"The syntax {D1,D2,...,Dn} denotes a tuple whose arguments are D1, D2, ... Dn.","Haskell is a standardized, general-purpose purely functional programming language, with non-strict semantics and strong static typing.",1,1,https://source.unsplash.com/1920x1080?,hardcover,casual,https://source.unsplash.com/1920x1080?,0,9af81769-064d-41c2-b6e3-5ea14b9b7e49,Any element of a tuple can be accessed in constant time.,10,139.242.93.230,4,3,3,Its main implementation is the Glasgow Haskell Compiler.,"The sequential subset of Erlang supports eager evaluation, single assignment, and dynamic typing.",2024-03-26 16:46:45.111384,2024-03-26 16:46:45.111384
15,15,15,742,528,123,744,448,321,57,964,5,Any element of a tuple can be accessed in constant time.,Do you come here often?,1,0,https://source.unsplash.com/1920x1080?,rather,sing,https://source.unsplash.com/1920x1080?,0,df4b6c93-337a-47c8-bdbb-9346d47b96af,He looked inquisitively at his keyboard and wrote another sentence.,2,76.33.169.122,6,9,1,He looked inquisitively at his keyboard and wrote another sentence.,"They are written as strings of consecutive alphanumeric characters, the first character being lowercase.",2024-03-26 16:46:45.111384,2024-03-26 16:46:45.111384
16,16,16,510,605,260,697,858,899,28,598,6,"The Galactic Empire is nearing completion of the Death Star, a space station with the power to destroy entire planets.",He looked inquisitively at his keyboard and wrote another sentence.,1,0,https://source.unsplash.com/1920x1080?,heavy,holes,https://source.unsplash.com/1920x1080?,1,ea6e0fe6-da17-421e-959a-ea5bc3f97ae5,"Haskell is a standardized, general-purpose purely functional programming language, with non-strict semantics and strong static typing.",3,184.253.109.70,2,8,6,Haskell features a type system with type inference and lazy evaluation.,Do you come here often?,2024-03-26 16:46:45.111384,2024-03-26 16:46:45.111384
17,17,17,455,471,954,134,103,663,430,907,9,Do you come here often?,Atoms are used within a program to denote distinguished values.,1,1,https://source.unsplash.com/1920x1080?,specialty,interpretation,https://source.unsplash.com/1920x1080?,1,a2494bd7-5504-45f9-b805-fff2ce8e8290,Where are my pants?,4,51.206.5.9,4,10,3,"They are written as strings of consecutive alphanumeric characters, the first character being lowercase.",It is also a garbage-collected runtime system.,2024-03-26 16:46:45.111384,2024-03-26 16:46:45.111384
18,18,18,790,766,479,845,2,874,557,924,10,Its main implementation is the Glasgow Haskell Compiler.,Its main implementation is the Glasgow Haskell Compiler.,1,0,https://source.unsplash.com/1920x1080?,fame,mins,https://source.unsplash.com/1920x1080?,1,8b41270f-ae85-4f66-9a92-eff8e075ec16,I don't even care.,5,73.181.115.73,10,7,1,"The syntax {D1,D2,...,Dn} denotes a tuple whose arguments are D1, D2, ... Dn.",Ports are used to communicate with the external world.,2024-03-26 16:46:45.111384,2024-03-26 16:46:45.111384
19,19,19,580,419,847,667,138,710,898,57,4,Ports are created with the built-in function open_port.,Where are my pants?,0,1,https://source.unsplash.com/1920x1080?,sports,graph,https://source.unsplash.com/1920x1080?,1,7cea996b-c808-4040-9926-5b90bfccc2c7,Any element of a tuple can be accessed in constant time.,4,142.121.84.176,6,1,8,I don't even care.,Ports are created with the built-in function open_port.,2024-03-26 16:46:45.111384,2024-03-26 16:46:45.111384
20,20,20,765,291,53,626,153,584,814,551,5,"Initially composing light-hearted and irreverent works, he also wrote serious, sombre and religious pieces beginning in the 1930s.",Ports are used to communicate with the external world.,1,1,https://source.unsplash.com/1920x1080?,established,gloves,https://source.unsplash.com/1920x1080?,1,ebea4cd5-2425-4af6-ac87-50109c1ad629,Where are my pants?,4,76.103.40.163,6,8,1,"In 1989 the building was heavily damaged by fire, but it has since been restored.",Do you come here often?,2024-03-26 16:46:45.111384,2024-03-26 16:46:45.111384
21,21,21,197,935,766,89,176,371,673,274,6,He looked inquisitively at his keyboard and wrote another sentence.,"The Galactic Empire is nearing completion of the Death Star, a space station with the power to destroy entire planets.",0,1,https://source.unsplash.com/1920x1080?,update,main,https://source.unsplash.com/1920x1080?,1,b14aa1a7-36cf-4c74-acc6-642ecf7d1cff,"Initially composing light-hearted and irreverent works, he also wrote serious, sombre and religious pieces beginning in the 1930s.",7,248.183.72.14,1,6,8,Ports are used to communicate with the external world.,"The Galactic Empire is nearing completion of the Death Star, a space station with the power to destroy entire planets.",2024-03-26 16:46:45.111384,2024-03-26 16:46:45.111384
22,22,22,839,646,555,550,844,433,316,28,4,Haskell features a type system with type inference and lazy evaluation.,Any element of a tuple can be accessed in constant time.,1,0,https://source.unsplash.com/1920x1080?,format,push,https://source.unsplash.com/1920x1080?,0,81920be5-8be4-44a5-af74-e71bce8b0030,Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom.,9,145.94.194.22,8,8,6,Atoms are used within a program to denote distinguished values.,Any element of a tuple can be accessed in constant time.,2024-03-26 16:46:45.111384,2024-03-26 16:46:45.111384
23,23,23,156,407,316,39,102,340,295,938,10,The arguments can be primitive data types or compound data types.,Haskell features a type system with type inference and lazy evaluation.,0,1,https://source.unsplash.com/1920x1080?,prime,about,https://source.unsplash.com/1920x1080?,0,f0f3f598-354f-47aa-be5d-8aa59f4d2b03,"They are written as strings of consecutive alphanumeric characters, the first character being lowercase.",10,255.108.138.185,4,4,5,"The sequential subset of Erlang supports eager evaluation, single assignment, and dynamic typing.",Tuples are containers for a fixed number of Erlang data types.,2024-03-26 16:46:45.111384,2024-03-26 16:46:45.111384
24,24,24,29,158,16,183,812,982,532,984,10,The arguments can be primitive data types or compound data types.,"The Galactic Empire is nearing completion of the Death Star, a space station with the power to destroy entire planets.",0,1,https://source.unsplash.com/1920x1080?,oclc,carpet,https://source.unsplash.com/1920x1080?,1,c48cd181-ab10-47d9-96ed-26ed76db28a9,Where are my pants?,4,203.118.178.25,4,5,9,Its main implementation is the Glasgow Haskell Compiler.,"The syntax {D1,D2,...,Dn} denotes a tuple whose arguments are D1, D2, ... Dn.",2024-03-26 16:46:45.111384,2024-03-26 16:46:45.111384
25,25,25,478,979,835,714,859,380,734,62,1,"The Galactic Empire is nearing completion of the Death Star, a space station with the power to destroy entire planets.","She spent her earliest years reading classic literature, and writing poetry.",0,0,https://source.unsplash.com/1920x1080?,studies,thirty,https://source.unsplash.com/1920x1080?,0,753bfd8e-4198-4cc1-b47b-7b18e118c68e,Ports are used to communicate with the external world.,10,171.121.96.153,1,3,5,Do you have any idea why this is not working?,I don't even care.,2024-03-26 16:46:45.111384,2024-03-26 16:46:45.111384
26,26,26,515,894,193,747,631,303,309,131,4,"Messages can be sent to and received from ports, but these messages must obey the so-called ""port protocol.""",Do you come here often?,1,1,https://source.unsplash.com/1920x1080?,wed,latina,https://source.unsplash.com/1920x1080?,0,d27617ce-5774-45a3-90cd-6a08d01e2241,Haskell features a type system with type inference and lazy evaluation.,10,210.218.231.101,3,2,2,Ports are created with the built-in function open_port.,Do you come here often?,2024-03-26 16:46:45.111384,2024-03-26 16:46:45.111384
27,27,27,29,869,612,365,902,803,38,2,9,"In 1989 the building was heavily damaged by fire, but it has since been restored.",Ports are created with the built-in function open_port.,1,0,https://source.unsplash.com/1920x1080?,evil,saved,https://source.unsplash.com/1920x1080?,1,05f25ac6-960d-4810-829e-1d14be2004f8,Erlang is known for its designs that are well suited for systems.,3,119.201.194.240,3,4,2,Where are my pants?,Any element of a tuple can be accessed in constant time.,2024-03-26 16:46:45.111384,2024-03-26 16:46:45.111384
28,28,28,132,697,469,263,699,273,909,537,2,"She spent her earliest years reading classic literature, and writing poetry.",Make me a sandwich.,0,1,https://source.unsplash.com/1920x1080?,before,incorporated,https://source.unsplash.com/1920x1080?,0,46680b2c-4d28-46ca-8b01-8b489e6ad34f,"The syntax {D1,D2,...,Dn} denotes a tuple whose arguments are D1, D2, ... Dn.",3,111.171.168.162,8,6,4,"She spent her earliest years reading classic literature, and writing poetry.",Type classes first appeared in the Haskell programming language.,2024-03-26 16:46:45.111384,2024-03-26 16:46:45.111384
29,29,29,981,914,247,714,655,978,939,274,5,Tuples are containers for a fixed number of Erlang data types.,Any element of a tuple can be accessed in constant time.,0,1,https://source.unsplash.com/1920x1080?,extensive,standing,https://source.unsplash.com/1920x1080?,1,bc515c28-f224-4866-9256-c1ab59f01be8,"In 1989 the building was heavily damaged by fire, but it has since been restored.",8,99.136.227.194,5,3,6,"She spent her earliest years reading classic literature, and writing poetry.",Ports are created with the built-in function open_port.,2024-03-26 16:46:45.111384,2024-03-26 16:46:45.111384
30,30,30,855,683,941,416,210,410,159,530,6,I don't even care.,The arguments can be primitive data types or compound data types.,0,0,https://source.unsplash.com/1920x1080?,absence,marketplace,https://source.unsplash.com/1920x1080?,1,589c2b4e-58cc-46fa-8d77-fd60811ddd21,I don't even care.,1,203.233.73.182,1,6,5,Do you have any idea why this is not working?,Do you come here often?,2024-03-26 16:46:45.111384,2024-03-26 16:46:45.111384
31,31,31,360,189,671,532,405,824,357,188,5,I don't even care.,"The Galactic Empire is nearing completion of the Death Star, a space station with the power to destroy entire planets.",1,0,https://source.unsplash.com/1920x1080?,waves,provider,https://source.unsplash.com/1920x1080?,1,f3bf7019-ae74-40e8-b3b4-0b2391adbe1d,Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom.,9,228.131.214.10,5,10,8,Ports are used to communicate with the external world.,Make me a sandwich.,2024-03-26 16:46:45.111384,2024-03-26 16:46:45.111384
32,32,32,262,155,161,203,22,777,739,381,4,Its main implementation is the Glasgow Haskell Compiler.,"In 1989 the building was heavily damaged by fire, but it has since been restored.",1,0,https://source.unsplash.com/1920x1080?,arrangements,stick,https://source.unsplash.com/1920x1080?,1,e98c7c6a-f03a-41c5-abd3-dfb7e6b87fe4,Its main implementation is the Glasgow Haskell Compiler.,2,252.239.3.3,7,9,4,The arguments can be primitive data types or compound data types.,It is also a garbage-collected runtime system.,2024-03-26 16:46:45.111384,2024-03-26 16:46:45.111384
33,33,33,880,125,449,807,354,283,592,661,7,"They are written as strings of consecutive alphanumeric characters, the first character being lowercase.",Haskell features a type system with type inference and lazy evaluation.,1,0,https://source.unsplash.com/1920x1080?,rugby,release,https://source.unsplash.com/1920x1080?,0,3aa38205-af73-487d-881b-9d3d21d0b333,Haskell features a type system with type inference and lazy evaluation.,9,78.165.124.178,9,4,9,"Erlang is a general-purpose, concurrent, functional programming language.",He looked inquisitively at his keyboard and wrote another sentence.,2024-03-26 16:46:45.111384,2024-03-26 16:46:45.111384
34,34,34,365,849,331,694,848,917,1,35,5,I don't even care.,I don't even care.,0,0,https://source.unsplash.com/1920x1080?,potter,paintings,https://source.unsplash.com/1920x1080?,1,690e9cbf-20e4-4c35-8f8d-e9331348c956,Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom.,8,189.253.3.34,3,6,6,Where are my pants?,He looked inquisitively at his keyboard and wrote another sentence.,2024-03-26 16:46:45.111384,2024-03-26 16:46:45.111384
35,35,35,900,378,943,851,288,584,854,280,3,"The syntax {D1,D2,...,Dn} denotes a tuple whose arguments are D1, D2, ... Dn.",Make me a sandwich.,0,1,https://source.unsplash.com/1920x1080?,consent,religious,https://source.unsplash.com/1920x1080?,0,a3ebffc9-a91d-4af8-b6df-fa64dad10534,"Erlang is a general-purpose, concurrent, functional programming language.",3,99.169.35.197,7,2,1,Do you have any idea why this is not working?,"They are written as strings of consecutive alphanumeric characters, the first character being lowercase.",2024-03-26 16:46:45.111384,2024-03-26 16:46:45.111384
36,36,36,149,877,183,137,71,264,716,748,5,"In 1989 the building was heavily damaged by fire, but it has since been restored.",Where are my pants?,0,0,https://source.unsplash.com/1920x1080?,heart,feb,https://source.unsplash.com/1920x1080?,1,de9ca29c-a3e0-4cd6-93ca-a64ff6198360,He looked inquisitively at his keyboard and wrote another sentence.,1,21.136.61.70,5,5,1,Ports are used to communicate with the external world.,Make me a sandwich.,2024-03-26 16:46:45.111384,2024-03-26 16:46:45.111384
37,37,37,799,533,773,997,278,470,413,697,2,Atoms are used within a program to denote distinguished values.,I don't even care.,1,0,https://source.unsplash.com/1920x1080?,dead,atmosphere,https://source.unsplash.com/1920x1080?,1,9c19e8b1-ffff-4a88-aa24-2e9ae042c6d0,"Initially composing light-hearted and irreverent works, he also wrote serious, sombre and religious pieces beginning in the 1930s.",9,207.48.175.137,5,1,5,Any element of a tuple can be accessed in constant time.,The arguments can be primitive data types or compound data types.,2024-03-26 16:46:45.111384,2024-03-26 16:46:45.111384
38,38,38,370,73,48,630,360,211,816,429,5,"Initially composing light-hearted and irreverent works, he also wrote serious, sombre and religious pieces beginning in the 1930s.",Make me a sandwich.,1,0,https://source.unsplash.com/1920x1080?,chemical,xml,https://source.unsplash.com/1920x1080?,1,e0f854ca-448d-4436-a26c-f694e033f307,Haskell features a type system with type inference and lazy evaluation.,5,104.79.18.146,6,1,2,"They are written as strings of consecutive alphanumeric characters, the first character being lowercase.","Initially composing light-hearted and irreverent works, he also wrote serious, sombre and religious pieces beginning in the 1930s.",2024-03-26 16:46:45.111384,2024-03-26 16:46:45.111384
39,39,39,902,761,544,190,771,326,619,150,2,Ports are created with the built-in function open_port.,Where are my pants?,1,0,https://source.unsplash.com/1920x1080?,payments,alien,https://source.unsplash.com/1920x1080?,1,498378a7-6917-44db-b9f7-d2f1929b4f11,"She spent her earliest years reading classic literature, and writing poetry.",3,35.62.14.158,8,5,4,"Messages can be sent to and received from ports, but these messages must obey the so-called ""port protocol.""","The sequential subset of Erlang supports eager evaluation, single assignment, and dynamic typing.",2024-03-26 16:46:45.111384,2024-03-26 16:46:45.111384
40,40,40,484,47,208,110,880,717,18,294,9,"Haskell is a standardized, general-purpose purely functional programming language, with non-strict semantics and strong static typing.","Haskell is a standardized, general-purpose purely functional programming language, with non-strict semantics and strong static typing.",1,0,https://source.unsplash.com/1920x1080?,wrap,visa,https://source.unsplash.com/1920x1080?,0,38fd0727-b3b7-49d6-8ac2-e6517478aec2,"She spent her earliest years reading classic literature, and writing poetry.",10,35.139.99.86,6,1,7,Type classes first appeared in the Haskell programming language.,"They are written as strings of consecutive alphanumeric characters, the first character being lowercase.",2024-03-26 16:46:45.111384,2024-03-26 16:46:45.111384
41,41,41,438,286,537,828,688,740,248,128,5,"She spent her earliest years reading classic literature, and writing poetry.",Erlang is known for its designs that are well suited for systems.,1,0,https://source.unsplash.com/1920x1080?,locator,victoria,https://source.unsplash.com/1920x1080?,1,9688258f-11cf-4a09-8bd2-fd1677773532,Do you come here often?,9,57.19.82.176,6,9,6,Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom.,Where are my pants?,2024-03-26 16:46:45.111384,2024-03-26 16:46:45.111384
42,42,42,758,403,909,628,306,772,1000,489,1,Make me a sandwich.,Do you come here often?,0,1,https://source.unsplash.com/1920x1080?,delta,breaks,https://source.unsplash.com/1920x1080?,1,a110f11e-fe1c-40f9-a422-3fc9905ee879,Ports are used to communicate with the external world.,2,205.227.241.192,4,1,8,Haskell features a type system with type inference and lazy evaluation.,Atoms are used within a program to denote distinguished values.,2024-03-26 16:46:45.111384,2024-03-26 16:46:45.111384
43,43,43,536,778,487,453,759,505,859,232,8,"In 1989 the building was heavily damaged by fire, but it has since been restored.",Where are my pants?,0,0,https://source.unsplash.com/1920x1080?,elizabeth,camel,https://source.unsplash.com/1920x1080?,0,6e5d8434-27e6-46b1-80e0-596851bddecf,Any element of a tuple can be accessed in constant time.,1,254.160.68.30,5,9,6,"In 1989 the building was heavily damaged by fire, but it has since been restored.",Erlang is known for its designs that are well suited for systems.,2024-03-26 16:46:45.111384,2024-03-26 16:46:45.111384
44,44,44,501,843,203,290,702,369,502,118,8,Ports are used to communicate with the external world.,"Messages can be sent to and received from ports, but these messages must obey the so-called ""port protocol.""",0,1,https://source.unsplash.com/1920x1080?,bin,alcohol,https://source.unsplash.com/1920x1080?,0,d90e1cc6-e62e-4d1b-a417-27b89f5da038,Ports are created with the built-in function open_port.,5,205.163.78.131,6,3,4,"In 1989 the building was heavily damaged by fire, but it has since been restored.",Haskell features a type system with type inference and lazy evaluation.,2024-03-26 16:46:45.111384,2024-03-26 16:46:45.111384
45,45,45,903,326,583,635,917,365,1,659,7,Ports are used to communicate with the external world.,Type classes first appeared in the Haskell programming language.,1,1,https://source.unsplash.com/1920x1080?,significantly,cam,https://source.unsplash.com/1920x1080?,0,6f50fb14-7f99-4679-b8b9-69dd13e3c6b3,"The sequential subset of Erlang supports eager evaluation, single assignment, and dynamic typing.",1,105.224.216.255,10,5,2,Its main implementation is the Glasgow Haskell Compiler.,"The syntax {D1,D2,...,Dn} denotes a tuple whose arguments are D1, D2, ... Dn.",2024-03-26 16:46:45.111384,2024-03-26 16:46:45.111384
46,46,46,502,917,890,573,167,737,279,465,6,Do you come here often?,"In 1989 the building was heavily damaged by fire, but it has since been restored.",1,0,https://source.unsplash.com/1920x1080?,returned,regular,https://source.unsplash.com/1920x1080?,0,3a2a0734-1839-4c88-a2de-a479f19ac13f,Type classes first appeared in the Haskell programming language.,6,176.30.226.67,3,5,2,The arguments can be primitive data types or compound data types.,Where are my pants?,2024-03-26 16:46:45.111384,2024-03-26 16:46:45.111384
47,47,47,279,942,776,334,44,462,222,702,6,"Erlang is a general-purpose, concurrent, functional programming language.",Where are my pants?,0,1,https://source.unsplash.com/1920x1080?,perspective,violent,https://source.unsplash.com/1920x1080?,0,85d8b98a-7bd0-4b31-b845-3a5957f4adc2,"The sequential subset of Erlang supports eager evaluation, single assignment, and dynamic typing.",9,215.115.181.205,4,1,10,"Messages can be sent to and received from ports, but these messages must obey the so-called ""port protocol.""","Initially composing light-hearted and irreverent works, he also wrote serious, sombre and religious pieces beginning in the 1930s.",2024-03-26 16:46:45.111384,2024-03-26 16:46:45.111384
48,48,48,799,192,284,554,388,11,107,35,3,Erlang is known for its designs that are well suited for systems.,Any element of a tuple can be accessed in constant time.,0,0,https://source.unsplash.com/1920x1080?,editors,gave,https://source.unsplash.com/1920x1080?,1,8b59c36a-41e9-4c79-a1bd-944909da72a4,Do you have any idea why this is not working?,4,118.164.68.84,5,2,5,Do you come here often?,Atoms are used within a program to denote distinguished values.,2024-03-26 16:46:45.111384,2024-03-26 16:46:45.111384
49,49,49,86,765,875,902,656,337,274,667,7,"The Galactic Empire is nearing completion of the Death Star, a space station with the power to destroy entire planets.",Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom.,0,0,https://source.unsplash.com/1920x1080?,physics,hang,https://source.unsplash.com/1920x1080?,1,39e75026-8fcb-47f1-b7d8-14686e2b336a,Tuples are containers for a fixed number of Erlang data types.,1,190.225.162.205,4,4,6,Any element of a tuple can be accessed in constant time.,"They are written as strings of consecutive alphanumeric characters, the first character being lowercase.",2024-03-26 16:46:45.111384,2024-03-26 16:46:45.111384
50,50,50,913,989,310,55,84,637,671,403,9,Type classes first appeared in the Haskell programming language.,"Messages can be sent to and received from ports, but these messages must obey the so-called ""port protocol.""",1,1,https://source.unsplash.com/1920x1080?,amounts,ftp,https://source.unsplash.com/1920x1080?,1,ae262440-a808-4dde-8b77-9b023db18cd6,"They are written as strings of consecutive alphanumeric characters, the first character being lowercase.",7,49.55.239.6,8,2,4,Do you have any idea why this is not working?,Tuples are containers for a fixed number of Erlang data types.,2024-03-26 16:46:45.111384,2024-03-26 16:46:45.111384
51,51,51,516,291,998,869,13,210,218,923,9,"They are written as strings of consecutive alphanumeric characters, the first character being lowercase.",I don't even care.,0,0,https://source.unsplash.com/1920x1080?,plasma,pocket,https://source.unsplash.com/1920x1080?,1,e42f073a-d19a-4d3b-a7fe-8c17b7c7eb3d,Erlang is known for its designs that are well suited for systems.,1,115.94.113.191,8,5,3,"She spent her earliest years reading classic literature, and writing poetry.","Erlang is a general-purpose, concurrent, functional programming language.",2024-03-26 16:46:45.111384,2024-03-26 16:46:45.111384
52,52,52,240,367,131,779,166,680,744,982,4,Atoms are used within a program to denote distinguished values.,Where are my pants?,1,0,https://source.unsplash.com/1920x1080?,does,puzzle,https://source.unsplash.com/1920x1080?,0,a0b1638e-9d3a-4daf-b186-82fb6973f06d,"Messages can be sent to and received from ports, but these messages must obey the so-called ""port protocol.""",3,216.143.149.144,9,8,7,"Messages can be sent to and received from ports, but these messages must obey the so-called ""port protocol.""",Erlang is known for its designs that are well suited for systems.,2024-03-26 16:46:45.111384,2024-03-26 16:46:45.111384
